date,sku_id,pharmacy_type,demand_type,units_sold,week_of_year,ili_pct,is_holiday,vbp_10_active,forecast,lower_90,upper_90
2026-03-09,SKU_0070,independent,intermittent,0,11,2.52,0,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-03-16,SKU_0070,independent,intermittent,22,12,2.77,0,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-03-23,SKU_0070,independent,intermittent,6,13,2.88,0,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-03-30,SKU_0070,independent,intermittent,10,14,2.66,0,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-04-06,SKU_0070,independent,intermittent,12,15,3.45,0,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-04-13,SKU_0070,independent,intermittent,8,16,3.63,0,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-04-20,SKU_0070,independent,intermittent,9,17,3.77,0,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-04-27,SKU_0070,independent,intermittent,15,18,3.93,0,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-05-04,SKU_0070,independent,intermittent,19,19,3.77,1,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-05-11,SKU_0070,independent,intermittent,5,20,4.38,0,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-05-18,SKU_0070,independent,intermittent,12,21,4.66,0,1,10.337499525383455,8.269999620306764,12.404999430460146
2026-05-25,SKU_0070,independent,intermittent,11,22,4.74,0,1,10.337499525383455,8.269999620306764,12.404999430460146
