date,sku_id,pharmacy_type,demand_type,units_sold,week_of_year,ili_pct,is_holiday,vbp_10_active,forecast,lower_90,upper_90
2026-03-09,SKU_0064,independent,smooth,17,11,2.52,0,1,28,22.400000000000002,33.6
2026-03-16,SKU_0064,independent,smooth,43,12,2.77,0,1,28,22.400000000000002,33.6
2026-03-23,SKU_0064,independent,smooth,13,13,2.88,0,1,28,22.400000000000002,33.6
2026-03-30,SKU_0064,independent,smooth,0,14,2.66,0,1,28,22.400000000000002,33.6
2026-04-06,SKU_0064,independent,smooth,11,15,3.45,0,1,28,22.400000000000002,33.6
2026-04-13,SKU_0064,independent,smooth,30,16,3.63,0,1,28,22.400000000000002,33.6
2026-04-20,SKU_0064,independent,smooth,25,17,3.77,0,1,28,22.400000000000002,33.6
2026-04-27,SKU_0064,independent,smooth,35,18,3.93,0,1,28,22.400000000000002,33.6
2026-05-04,SKU_0064,independent,smooth,29,19,3.77,1,1,28,22.400000000000002,33.6
2026-05-11,SKU_0064,independent,smooth,19,20,4.38,0,1,28,22.400000000000002,33.6
2026-05-18,SKU_0064,independent,smooth,21,21,4.66,0,1,28,22.400000000000002,33.6
2026-05-25,SKU_0064,independent,smooth,23,22,4.74,0,1,28,22.400000000000002,33.6
