date,sku_id,pharmacy_type,demand_type,units_sold,week_of_year,ili_pct,is_holiday,vbp_10_active,forecast,lower_90,upper_90
2026-03-09,SKU_0015,chain,shocked,94,11,2.52,0,1,108,86.4,129.6
2026-03-16,SKU_0015,chain,shocked,44,12,2.77,0,1,108,86.4,129.6
2026-03-23,SKU_0015,chain,shocked,71,13,2.88,0,1,108,86.4,129.6
2026-03-30,SKU_0015,chain,shocked,102,14,2.66,0,1,108,86.4,129.6
2026-04-06,SKU_0015,chain,shocked,73,15,3.45,0,1,108,86.4,129.6
2026-04-13,SKU_0015,chain,shocked,103,16,3.63,0,1,108,86.4,129.6
2026-04-20,SKU_0015,chain,shocked,117,17,3.77,0,1,108,86.4,129.6
2026-04-27,SKU_0015,chain,shocked,126,18,3.93,0,1,108,86.4,129.6
2026-05-04,SKU_0015,chain,shocked,51,19,3.77,1,1,108,86.4,129.6
2026-05-11,SKU_0015,chain,shocked,164,20,4.38,0,1,108,86.4,129.6
2026-05-18,SKU_0015,chain,shocked,122,21,4.66,0,1,108,86.4,129.6
2026-05-25,SKU_0015,chain,shocked,99,22,4.74,0,1,108,86.4,129.6
