date,sku_id,pharmacy_type,demand_type,units_sold,week_of_year,ili_pct,is_holiday,vbp_10_active,forecast,lower_90,upper_90
2026-03-09,SKU_0020,independent,seasonal,28,11,2.52,0,1,45.512566,45.41031282128609,45.61481840429985
2026-03-16,SKU_0020,independent,seasonal,56,12,2.77,0,1,43.6172,43.51494615258492,43.719451735598675
2026-03-23,SKU_0020,independent,seasonal,19,13,2.88,0,1,41.377525,41.275272538082966,41.47977812109672
2026-03-30,SKU_0020,independent,seasonal,60,14,2.66,0,1,29.828852,29.726598908322227,29.931104491335976
2026-04-06,SKU_0020,independent,seasonal,40,15,3.45,0,1,65.62526,65.52300660790719,65.72751219092093
2026-04-13,SKU_0020,independent,seasonal,43,16,3.63,0,1,40.447266,40.34501283349312,40.54951841650688
2026-04-20,SKU_0020,independent,seasonal,32,17,3.77,0,1,59.14807,59.04581849755562,59.25032408056938
2026-04-27,SKU_0020,independent,seasonal,59,18,3.93,0,1,54.76751,54.66525666894234,54.8697622519561
2026-05-04,SKU_0020,independent,seasonal,89,19,3.77,1,1,67.99165,67.88940065087594,68.09390623388968
2026-05-11,SKU_0020,independent,seasonal,69,20,4.38,0,1,68.18728,68.08502595605172,68.28953153906546
2026-05-18,SKU_0020,independent,seasonal,44,21,4.66,0,1,72.07771,71.97546022118844,72.17996580420218
2026-05-25,SKU_0020,independent,seasonal,78,22,4.74,0,1,64.90599,64.80373780907907,65.00824339209281
