date,sku_id,pharmacy_type,demand_type,units_sold,week_of_year,ili_pct,is_holiday,vbp_10_active,forecast,lower_90,upper_90
2026-03-09,SKU_0033,independent,smooth,83,11,2.52,0,1,71.75101,71.65692924474801,71.84508491540824
2026-03-16,SKU_0033,independent,smooth,92,12,2.77,0,1,89.183235,89.08915733312692,89.27731300378714
2026-03-23,SKU_0033,independent,smooth,69,13,2.88,0,1,99.42171,99.3276293179902,99.51578498865042
2026-03-30,SKU_0033,independent,smooth,63,14,2.66,0,1,87.64654,87.55245994543161,87.74061561609183
2026-04-06,SKU_0033,independent,smooth,103,15,3.45,0,1,113.0394,112.94532035802926,113.13347602868949
2026-04-13,SKU_0033,independent,smooth,67,16,3.63,0,1,89.597374,89.50329612707223,89.69145179773246
2026-04-20,SKU_0033,independent,smooth,69,17,3.77,0,1,109.883224,109.78914665197458,109.9773023226348
2026-04-27,SKU_0033,independent,smooth,65,18,3.93,0,1,112.14439,112.0503084561738,112.23846412683402
2026-05-04,SKU_0033,independent,smooth,82,19,3.77,1,1,126.90465,126.81056999181833,126.99872566247855
2026-05-11,SKU_0033,independent,smooth,126,20,4.38,0,1,142.04808,141.9540026090058,142.14215827966606
2026-05-18,SKU_0033,independent,smooth,144,21,4.66,0,1,126.521034,126.42695640539254,126.61511207605277
2026-05-25,SKU_0033,independent,smooth,74,22,4.74,0,1,107.934715,107.84063743566598,108.0287931063262
